[004022F8],0.002959,0.002959,0.000097,0.000097,chanfilter,,0
[00402303],0.000000,0.081829,0.000000,0.002685,chanfilter,,0
[00402313],0.002976,0.002976,0.000098,0.000098,chanfilter,,0
[00402316],0.002978,0.002978,0.000098,0.000098,chanfilter,,0
[00402319],0.008899,0.008899,0.000292,0.000292,chanfilter,,0
[00402354],0.000000,0.009063,0.000000,0.000297,chanfilter,,0
[00402367],0.009062,0.326533,0.000297,0.010715,chanfilter,,0
[0040236D],0.006112,0.006112,0.000201,0.000201,chanfilter,,0
[00402371],0.006099,0.006099,0.000200,0.000200,chanfilter,,0
[004024B7],0.004931,0.004931,0.000162,0.000162,chanfilter,,0
[004024BB],0.002982,0.002982,0.000098,0.000098,chanfilter,,0
[004024D6],0.000000,0.014007,0.000000,0.000460,chanfilter,,0
[004024D9],0.003031,0.003031,0.000099,0.000099,chanfilter,,0
[004024E3],0.000000,0.008976,0.000000,0.000295,chanfilter,,0
[004024E6],0.008153,0.008153,0.000268,0.000268,chanfilter,,0
[004024ED],0.002959,0.002959,0.000097,0.000097,chanfilter,,0
[004024F8],0.000000,0.105943,0.000000,0.003476,chanfilter,,0
[00402503],0.003031,0.003031,0.000099,0.000099,chanfilter,,0
[00402505],0.005967,0.005967,0.000196,0.000196,chanfilter,,0
[0040250A],0.000000,0.014989,0.000000,0.000492,chanfilter,,0
[00402513],0.059121,0.059121,0.001940,0.001940,chanfilter,,0
[00402516],0.008015,0.008015,0.000263,0.000263,chanfilter,,0
[00402519],0.011996,0.011996,0.000394,0.000394,chanfilter,,0
[00402522],0.006029,0.006029,0.000198,0.000198,chanfilter,,0
[0040252D],0.011983,0.011983,0.000393,0.000393,chanfilter,,0
[0040252F],0.011935,0.011935,0.000392,0.000392,chanfilter,,0
[00402537],0.002970,0.002970,0.000097,0.000097,chanfilter,,0
[00402563],0.000000,0.613242,0.000000,0.020123,chanfilter,,0
[00402566],0.009090,0.009090,0.000298,0.000298,chanfilter,,0
[0040256F],0.014185,0.174429,0.000465,0.005724,chanfilter,,0
[00402574],0.019101,0.019101,0.000627,0.000627,chanfilter,,0
[00402577],0.012982,0.012982,0.000426,0.000426,chanfilter,,0
[00402581],0.000000,0.016079,0.000000,0.000528,chanfilter,,0
[00402589],0.006016,0.006016,0.000197,0.000197,chanfilter,,0
[00404C48],0.002945,0.002945,0.000097,0.000097,chanfilter,,0
[00404C68],0.108251,0.108251,0.003552,0.003552,chanfilter,,0
[00404C98],0.005991,0.005991,0.000197,0.000197,chanfilter,,0
[00404D9B],0.003008,0.003008,0.000099,0.000099,chanfilter,,0
[00404D9E],0.017043,0.017043,0.000559,0.000559,chanfilter,,0
